distance,rssi,snr
0,-31.0,12.533333333333333
3,-37.666666666666664,10.666666666666666
6,-48.0,13.533333333333331
9,-72.0,12.366666666666667
12,-72.0,13.833333333333334
15,-59.333333333333336,14.0
18,-34.666666666666664,12.799999999999999
21,-30.333333333333332,13.866666666666665
24,-56.333333333333336,13.866666666666665
27,-60.333333333333336,13.6
30,-67.0,13.199999999999998
33,-73.33333333333333,11.299999999999999
36,-76.66666666666667,13.299999999999999
39,-80.66666666666667,13.166666666666666
42,-83.33333333333333,13.166666666666666
45,-84.33333333333333,10.166666666666666
48,-85.0,8.366666666666667
51,-91.0,9.833333333333334
54,-87.66666666666667,10.5
57,-91.66666666666667,8.0
60,-90.0,9.4
63,-97.0,6.166666666666667
66,-102.33333333333333,1.9000000000000001
69,-102.33333333333333,-1.0999999999999999
72,-101.66666666666667,-4.3
75,-104.66666666666667,-3.0
78,-104.33333333333333,-2.1999999999999997
81,-104.0,-3.9333333333333336
84,-100.33333333333333,2.266666666666667
87,-89.0,11.733333333333334
90,-94.33333333333333,8.533333333333333
93,-95.0,8.799999999999999
96,-95.33333333333333,9.200000000000001
99,-92.0,7.466666666666666
102,-90.33333333333333,10.0
105,-88.33333333333333,10.133333333333333
108,-94.33333333333333,7.933333333333334
111,-103.0,0.06666666666666665
114,-100.0,3.3000000000000003
117,-98.33333333333333,3.8333333333333335
120,-99.66666666666667,2.9333333333333336
123,-97.0,4.933333333333334
126,-99.0,3.0333333333333337
129,-100.0,-0.9333333333333332
132,-98.0,3.266666666666667
135,-96.33333333333333,-2.6
138,-99.66666666666667,1.2
141,-98.0,3.3000000000000003
144,-96.0,6.333333333333333
147,-98.66666666666667,0.2666666666666666
150,-97.0,4.766666666666667
153,-103.66666666666667,-4.833333333333333
156,-99.33333333333333,4.366666666666667
159,-100.0,1.0
162,-93.66666666666667,8.033333333333333
165,-90.33333333333333,8.0
168,-90.0,9.700000000000001
171,-95.0,8.299999999999999
174,-96.33333333333333,5.933333333333334
177,-90.0,6.6000000000000005
180,-86.66666666666667,10.2
183,-90.66666666666667,8.866666666666665
186,-98.0,4.866666666666666
189,-95.33333333333333,6.466666666666666
192,-106.33333333333333,-7.533333333333334
195,-104.33333333333333,-8.2
198,-102.66666666666667,-4.866666666666667
201,-102.0,-3.266666666666667
