distance,rssi,snr
0,-34.666666666666664,13.4
3,-28.0,12.066666666666668
6,-54.333333333333336,11.166666666666666
9,-58.333333333333336,12.166666666666666
12,-67.33333333333333,12.6
15,-70.66666666666667,12.466666666666669
18,-72.66666666666667,13.5
21,-74.66666666666667,11.700000000000001
24,-84.33333333333333,12.166666666666666
27,-81.66666666666667,12.5
30,-86.33333333333333,9.133333333333333
33,-83.0,11.666666666666666
36,-82.0,9.966666666666667
39,-81.33333333333333,11.166666666666666
42,-96.66666666666667,6.133333333333333
45,-94.66666666666667,5.0
48,-98.0,3.866666666666667
51,-93.33333333333333,4.3999999999999995
54,-99.33333333333333,2.6666666666666665
57,-97.33333333333333,5.466666666666666
60,-90.0,3.266666666666666
63,-89.33333333333333,9.533333333333333
66,-89.66666666666667,8.166666666666666
69,-88.33333333333333,7.833333333333333
72,-88.33333333333333,10.5
75,-89.66666666666667,8.166666666666666
78,-97.0,-1.3333333333333333
81,-97.0,4.466666666666666
84,-95.0,6.266666666666667
87,-96.33333333333333,2.4
90,-100.0,-2.1666666666666665
93,-100.0,-1.0333333333333332
96,-100.66666666666667,-4.666666666666667
99,-100.66666666666667,-7.666666666666667
102,-102.66666666666667,-3.0
105,-101.33333333333333,-6.666666666666667
108,-101.0,-5.333333333333333
111,-102.33333333333333,-6.0
114,-100.0,1.0333333333333334
117,-98.0,1.9666666666666668
120,-102.33333333333333,-9.0
123,-103.0,-7.333333333333333
126,-102.33333333333333,-2.733333333333333
129,-101.66666666666667,-4.6000000000000005
132,-98.0,1.5999999999999999
135,-100.66666666666667,-0.7333333333333334
138,-102.0,-5.6000000000000005
141,-102.0,-5.933333333333334
144,-99.66666666666667,-0.5
147,-101.0,-2.6333333333333333
150,-102.33333333333333,-2.5
153,-101.0,1.1666666666666667
156,-103.66666666666667,-3.6
159,-102.33333333333333,-0.6
162,-104.0,-5.3
165,-103.33333333333333,-2.6333333333333333
168,-102.66666666666667,-4.933333333333334
171,-99.33333333333333,-2.066666666666667
174,-93.33333333333333,4.633333333333333
177,-100.0,0.8333333333333334
